Row,XL1,XL2,XL3,XL4,XL5,XL6,XL7,XL8,XL9,XL10,XL11,XL12,XL13
ASPRV1,0.016116855,0.018566544,0.020758743,0.036408515,0.041005384,-0.01306327,-0.021863174,0.012317348,-0.01175011,0.058471959,-0.04515823,0.00090612,-0.0049522
ASTE1,0.010193289,0.031801417,0.054695048,0.038229302,-0.03410704,0.005693224,0.020627301,-0.019078281,0.03957544,-0.012988453,-0.01026895,0.015748229,0.00037738
ATF3,-0.017297062,-0.025297992,-0.026840696,-0.039429761,0.043984871,-0.017960162,-0.013153473,0.017967613,0.027381491,-0.000825849,-0.003190666,0.021433818,0.014790597
ATF6B,0.02487949,-0.003758867,-0.011944286,0.012017673,0.003257902,0.01553067,-0.005447562,0.015775688,0.015079812,0.007613632,0.0435424,0.014632024,0.002675659
ATG2A,0.002928929,0.054925943,0.012393524,-0.003162619,-0.037362072,0.000637431,-0.004845281,-0.035920587,0.003334096,0.009523643,0.032436514,-0.052660992,0.046092575
ATL3,0.023751098,0.017755145,-0.007213566,0.021572984,0.012118835,-0.00718054,-0.003333002,0.016044277,-0.045941822,0.005735829,-0.01368874,-0.013964335,-0.044131458
ATP10A,0.021315123,-0.005340047,0.0423187,-0.037999729,0.012510957,-0.003006863,0.004709407,0.009001149,0.008637979,0.01772761,-0.012660658,-0.004780004,-0.027003579
ATP10B,-0.013122897,-0.0588056,-0.006980271,0.006180454,-0.003139626,-0.010918617,-0.000608392,0.015824477,0.00480198,0.034934142,-0.001575183,0.019729896,-0.020709197
ATP13A5,-0.019092372,0.003126704,0.016110073,0.009672575,-0.019599512,0.021364092,-0.011685135,0.015241008,-0.014361396,0.041533131,0.038239144,-0.044198821,-0.076776324
ATP1A1,0.023824776,0.000954922,-0.02426794,-0.02741951,0.015118458,0.033384114,0.013005451,-0.000877411,-0.006659836,-0.03864311,-0.013488924,0.008664949,0.007396922
ATP2A2,0.021801776,0.004028413,-0.016597712,-0.044075711,0.005735255,-0.030189506,0.030347702,-0.011109004,0.012890412,-0.020552348,-0.04106677,0.00598426,-0.026060539
ATP6V0E2,0.02550126,-0.015465413,0.026726101,-0.003073297,-0.008107574,-0.00235063,-0.012311143,-0.005618153,-0.007173065,-0.011916576,-0.004534834,-0.01868006,-0.010163001
ATP6V1H,0.020505002,-0.005356586,0.032618175,-0.002377023,0.017592806,0.042635108,0.036312621,0.024257254,0.038443296,0.012002163,0.005230023,0.030640704,0.001616568
ATP8A1,-0.020705037,0.007352208,-7.85519E-05,0.007731004,-0.026277689,-0.003550851,-0.035092035,-0.050870929,0.019652547,-0.023157848,0.063532681,0.008526215,0.023358565
ATP9B,0.01232923,0.051945391,-0.019858401,-0.044890891,0.018206908,0.02587252,0.004944343,0.003644059,-0.018028885,0.005751954,-0.010709315,0.026835248,-0.030604865
ATRNL1,0.02410305,-0.018383762,0.034096594,-0.009314055,0.012986155,-0.013828882,0.007343023,0.013348365,-0.015830817,0.005947286,0.004071383,-0.016706277,0.009475011
ATXN1,0.026280811,-0.01535022,0.016021932,-0.001351779,0.013711851,-0.00972006,-0.00866126,0.007503499,0.012455028,0.01321863,-0.01061316,-0.008683463,0.004382139
AUTS2,0.027420663,-0.000355699,0.009428884,-0.003191394,-0.005928661,0.012177898,-0.001222324,-0.002191499,-0.001758788,0.005707468,0.002409624,0.000842115,0.010619813
AXIN2,-0.019080105,-0.010711889,0.004871162,-0.062531342,-0.021610238,0.000834373,0.010255937,0.040279524,-0.00555099,-0.027621118,-0.001709285,-0.025525854,0.032026636
